Field_ID,FieldCall,Desc,BaseMapUnit,MapUnit,SiteSeries,Association,ForNonfor,Type,Type2,Type3,Full,Alliance,Class,Group,Realm,ExpectedPhysiog,Will to check,order,ColorType,RGB_Colour,Class_ID,Group_ID,Realm_ID,Physiog_ID,Map_ID,Notes
,Ws/Sc,,Ws,Ws,,,Nfor,Nfor,Nfor,Nfor,W,,Ws,,,,,,,,,,,,,
75,Ws03,,Ws03,Ws,,Ws,Nfor,Nfor,Nfor,Nfor,W,,Ws,M,W,3,,76,,,1300,1000,4,2,1300,
65,Ws04,,Ws04,Ws,,Ws,Nfor,Nfor,Nfor,Nfor,W,,Ws,M,W,3,,70,,,1300,1000,4,2,1300,
Adrian/amenita,Ws08,,Ws08,Ws,,Ws,Nfor,Treed,For,For,W,,Ws,M,W,3,,,,,,,,,,Fixed the section with these some to ESSFmc/09. The rest are poor swamps
will/hardy,Ws13,,Ws13,Ws,,Ws,Nfor,Nfor,Nfor,Nfor,W,,Ws,,,,,,,,,,,,1100,
,ESSFmc/Wun,,Wun,Wun,,,Nfor,Nfor,Nfor,Nfor,W,,,,W,,,,,,,,,,,
,SBSmc2/W,,Wun,Wun,,Wun,Nfor,Nfor,Nfor,Nfor,W,,,,,,,,,,,,,,,
,SBSmc2/Wun,,Wun,Wun,,Wun,Nfor,Nfor,Nfor,Nfor,W,,,,,,,,,,,,,,,
66,Ww,,Ww,Ww,,Ww,Nfor,Nfor,Nfor,Nfor,Wat,,Ww,A,W,,,63,26,,1400,1000,4,2,1400,
,ESSFmc/Xvh,,Xvh,Xvh,,Xvh,Nfor,Nfor,Nfor,Nfor,X,,Xvh,X,,2,,,,,,,,,,
40,SBSmc2/Xvh,,Xvh,Xvh,,Xvh,Nfor,Nfor,Nfor,Nfor,X,,Xvh,X,T,2,y,43,50,,910,900,1,2,910,
will/hardy,Unknown Cowparsnip Sangcan,,Xvh,Xvh,,,Nfor,Nfor,Nfor,Nfor,X,,Xvh,,,,,,,,,,,,,
will/hardy,"Unknown Cowparsnip,horsetail,glowmoss",,Xvh,Xvh,,,Nfor,Nfor,Nfor,Nfor,X,,Xvh,,,,,,,,,,,,,
will/hardy,Unknown Wet Meadow,,Xvh,Xvh,,,Nfor,Nfor,Nfor,Nfor,X,,Xvh,,,,,,,,,,,,,
,Xh,,Xvh,Xvh,,Xvh,Nfor,Nfor,Nfor,Nfor,X,,Xvh,,,,,,,,,,,,,
41,Xvh,,Xvh,Xvh,,Xvh,Nfor,Nfor,Nfor,Nfor,X,,Xvh,X,T,,y,44,50,,910,900,1,2,910,
,ESSFmc/Xvs,,Xvs,Xvs,,Xvs,Nfor,Nfor,Nfor,Nfor,X,,Xvs,X,,3,,,,,,,,,,
42,SBSmc2/Xvs,,Xvs,Xvs,,Xvs,Nfor,Nfor,Nfor,Nfor,X,,Xvs,X,T,3,y,45,51,,920,900,1,2,920,
43,Xvs,,Xvs,Xvs,,Xvs,Nfor,Nfor,Nfor,Nfor,X,,Xvs,X,T,3,y,46,51,,920,900,1,2,920,
44,SBSmc2/Xvt,,Xvt,Xvt,,Xvt,For,Treed,Nfor,Nfor,X,,Xvt,X,T,5,y,47,52,,930,900,1,2,930,
45,Xvt,,SBSmc2_Xvt,Xvt,,Xvt,For,Treed,Nfor,Nfor,X,,Xvt,X,T,5,y,48,52,,930,900,1,2,930,
,W_t,,W_t,W_t,,W_t,For,Treed,Nfor,Nfor,W_t,,,,,,,,,,,,,,,
